"unique_storm_number","sub_storms","suspended_sediment_load_pounds","chloride_load_pounds","no2_no3_n_load_pounds","ammonium_n_load_pounds","tkn_unfiltered_load_pounds","orthophosphate_load_pounds","total_phosphorus_unfiltered_load_pounds","total_nitrogen_computed_load_pounds","organic_nitrogen_computed_load_pounds","sum_runoff","sample_start","sample_end","storm_start","storm_end","peak_discharge","runoff_volume","frozen"
44,"OH-FM1-22",13.8737381832,0.12933145764,0.00587870262,0.00058787026,0.13521016026,0.01963486675,0.04444299181,0.14108886288,0.13462229,1883,0013-07-27 07:46:00,0013-07-27 14:00:00,0013-07-27 07:46:00,0013-07-27 14:15:00,0.66,1883,0
45,"OH-FM1-23",3.296016335,0.10547252272,0.03955219602,0.00263681307,0.1977609801,0.02135818585,0.04798999784,0.23731317612,0.19512416703,2112,0013-08-02 22:30:00,0013-08-03 09:00:00,0013-08-02 22:29:00,0013-08-03 09:15:00,0.13,2112,0
49,"OH-FM1-24",47.30578352,3.641300442,0.124488904,0.0062244452,0.7220356432,0.11919812558,0.23528402856,0.8465245472,0.715811198,4985,0013-10-31 21:40:00,0013-11-01 10:15:00,0013-10-31 21:37:00,0013-11-01 10:30:00,0.38,4985,0
51,"OH-FM1-25",51.2357062,1.31500844,1.77402082,1.22816826,3.63488182,0.0664947664,0.187326674,5.40890264,2.40671356,1987,0013-11-17 18:13:00,0013-11-18 05:15:00,0013-11-17 18:00:00,0013-11-18 05:30:00,0.28,1987,0
52,"OH-TM1-26a",7.8641604,3.0582846,2.35924812,0.600006312,1.007777592,0.0664084656,0.1103895108,3.367025712,0.40777128,4666,0013-12-20 04:00:00,0013-12-21 00:00:00,0013-12-20 03:45:00,0013-12-21 00:00:00,0.11,4666,0
53,"OH-FM1-26b",423.18783916,11.64737172,10.094388824,3.7271589504,9.512020238,0.6211931584,1.63451449804,19.606409062,5.7848612876,62191,0013-12-21 00:00:00,0013-12-22 17:00:00,0013-12-21 00:00:00,0013-12-22 17:15:00,2.8,62191,0
55,"OH-FM1-27",24.919356,2.99032272,2.36733882,0.56068551,2.093225904,0.2541774312,0.4497943758,4.460564724,1.532540394,19958,0014-01-10 23:45:00,0014-01-12 09:15:00,0014-01-10 23:30:00,0014-01-11 22:27:00,0.54,19958,0
59,"OH-FM1-29a",5.2238953,1.462690684,0.940301154,0.2716425556,1.2432870814,0.14208995216,0.2455230791,2.1835882354,0.9716445258,16736,0014-02-19 15:00:00,0014-02-21 08:50:00,0014-02-19 14:45:00,0014-02-21 08:50:00,0.57,16736,1
60,"OH-FM1-29b",27.60870468,1.598398692,0.871853832,0.217963458,1.525744206,0.16565222808,0.34292917392,2.397598038,1.307780748,23276,0014-02-21 08:50:00,0014-02-24 09:15:00,0014-02-21 08:50:00,0014-02-24 09:45:00,0.32,23276,1
61,"OH-FM1-30a",12.6862176,1.26862176,0.253724352,0.3008445888,0.7720469568,0.0743049888,0.13338651648,1.0257713088,0.471202368,5806,0014-03-07 14:00:00,0014-03-08 09:30:00,0014-03-07 13:45:00,0014-03-08 09:30:00,0.22,5806,1
62,"OH-FM1-30b",7.9774302,0.8252514,0.4126257,0.170551956,0.5501676,0.0365861454,0.0844507266,0.9627933,0.379615644,4406,0014-03-08 09:30:00,0014-03-11 16:15:00,0014-03-08 09:30:00,0014-03-11 16:30:00,0.04,4406,1
63,"OH-FM1-31",22.1793056,0.637655036,0.429724046,0.1205999742,0.5558688466,0.01607999656,0.09481653144,0.9855928926,0.4352688724,2220,0014-03-12 06:02:00,0014-03-13 01:30:00,0014-03-12 06:00:00,0014-03-13 01:45:00,0.23,2220,0
65,"OH-FM1-32a",726.3992274,1.37056458,3.36411306,0.847258104,5.581935744,0.6317056746,0.8522419752,8.946048804,4.73467764,19958,0014-04-03 11:29:00,0014-04-04 04:30:00,0014-04-03 11:24:00,0014-04-04 16:30:00,1.76,19958,0
66,"OH-FM1-32b",9.061584,0.26052054,0.17556819,0.049272363,0.227105949,0.0065696484,0.0387382716,0.402674139,0.177833586,907,0014-04-04 04:30:00,0014-04-04 16:27:00,0014-04-04 04:30:00,0014-04-04 16:27:00,0.04,907,0
70,"OH-FM1-33",4.56639108,1.44418995,0.08252514,0.0668453634,0.1273637994,0.2239182132,0.232445811,0.2098889394,0.060518436,441,0014-04-29 02:45:00,0014-04-29 09:00:00,0014-04-29 02:45:00,0014-04-29 08:15:00,0.06,441,0
73,"OH-FM1-34",1.61382496,0.512626752,0.194608304,0.0061705072,0.0458041496,0.01075092216,0.01523640624,0.2404124536,0.0396336424,380,0014-06-04 16:43:00,0014-06-04 20:45:00,0014-06-04 16:43:00,0014-06-04 21:00:00,0.06,380,0
74,"OH-FM1-35",285.1054804,13.354940924,3.901443416,0.2025749466,2.1157827756,0.26784909606,0.71126314584,6.0172261916,1.913207829,12018,0014-06-08 07:00:00,0014-06-08 19:30:00,0014-06-08 07:00:00,0014-06-08 19:45:00,1.52,12018,0
76,"OH-FMI-36",41.10561042,1.298449474,0.659985368,0.0408903978,0.2625593964,0.02309948788,0.0946935528,0.9225447644,0.2216689986,1149,0014-06-19 02:10:00,0014-06-19 05:50:00,0014-06-19 02:05:00,0014-06-19 09:45:00,0.18,1149,0
77,"OH-FMI-37",31.28404,4.16077732,0.5474707,0.02346303,0.43015555,0.0386357894,0.0979190452,0.97762625,0.40669252,2506,0014-06-20 12:50:00,0014-06-20 17:05:00,0014-06-20 12:49:00,0014-06-20 21:00:00,0.28,2506,0
